review,word count,char count,stopword count
"In the heart of the Castro, there's outdoor seating, bar seating & a hidden patio in the back. Well-designed interior & you can see the chefs prepare your food as well! I went on a tuesday lunch &  I thought it was empty until I saw a full patioMy friends and I went for the restaurant week deal and we got:- chicken liver pate: one of their best appetizers by far, the whole grain mustard, marmalade & the cut of bread gave a carnival of flavors in my mouth! It made me eager to try the rest of the deal- fries & 3 dips : The fries were nothing special. The basil aioli was light and refreshing but could have used a bit of parmesan or salt. The old bay aioli could have used a lot more seasoning as well. The last dip was ketchup- fried chicken po'boy: really more of a fried chicken sandwich, surprised it came on a brioche. Buns were toasted though and it was a great bread to soak up the flavor but that leads me to the next part: it had no flavor.  The texture & cook were perfect but the juicy chicken had no seasoning, and the slaw was lacking (could have used more). I was putting the trio dips on my sandwich to compensate but it was not enough. I get that this place is more focused on healthy clean food but there are ways to incorporate more flavors!This is an amazing place to dine at but it failed to deliver on flavor. I am willing to come back another day to try the rest of the menu but I left feeling very dissapointed",281,1437,116
"Had a reservation for 2 on a Sunday night at 5:30, plenty of space, so I was seated immediately. The space has a really nice dimmed lighting, creating a great intimate space for small groups. Ordered the broccoli rapini, flavor was great but a bit salty and extremely oily. Asked for half vegan cheese on the pizza and they accommodated! It was really good, crispy and thin crust just how I like it! Managed to finish all of it with 2 people. Although I just realized that the arugula we ordered did not get added on top of the pizza and I forgot to mention it since we were so hungry! Regardless it was a pleasant experience and appreciated them for catering to my sensitive stomach!",126,684,54
"Came here for a casual 3 person brunch on a Thursday and loved everything we ordered! We were seated outdoors immediately and loved the ambiance of the front outdoor area + the heaters overhead. The portions were huge, especially the fried chicken and French toast, which I only finished half of and took the rest home to eat later. The french toast was so spongey and not too sweet, which paired perfectly with the crispness of the chicken. I got the lychee cocktail which was very sweet and delicious! Id recommend getting the fries because they had three great dipping sauces.",101,579,41
"Cool space, but I was a little disappointed in the food. Is was fine but nothing amazing. Not worth the price in my opinion. Service was good but they forgot to bring us a drink that they ultimately charged us for.",41,214,17
"Came for dinner with a group of friends and we shared a few dishes! We started with fried, pate and cauliflower. It was all sooo delicious and loved how unique the food was.For mains, we shared two pizzas that were both amazing! It was just enough food for the 5 of us where we were satisfied but think we could have eaten one more large dish like a pizza to be properly full",73,375,34
"Dinner before a movie brought us to Starbelly for an early dinner. We were seated inside at a high-table. Started with the chicken liver pate. It was good but somehow it lacked flavor!! I am a Pate lover and it just didn't leave the greatest impression. My salad was good, and my husband enjoyed his burger. The burger and salad were both in the small side!!  Entrees tasted good but nothing was a standout.",74,407,32
Came here after doing Barry's Bootcamp so this was super conveniently close and lots of reservations were available. Good:- Loved the cauliflower soup - so much flavor packed into each bowl- Fan of the Star bacon pizza - I liked the tomato sauce and bacon combo and it was good even though I'm not usually a fan of arugula - I liked the loco moco - definitely on the smaller side but the medium rare loco moco was tasty and left me wanting more - The freshly squeezed orange juice was heavenly - started drinking it and couldn't stop! - Upscale modern ambiance Bad: - The butternut squash didn't work as well for me - I didn't like the combo of flavors very much and the cheese didn't really sit right for me either Overall very high quality place and great for dates - we came for a double date and would come back - reasonable prices too.,158,840,56
"3.5 STARS- the storefront makes the restaurant seem deceptively small, but once inside you can see just how much seating there is, as well as in the backyard patio- the interior is really cute and the ambiance is nice, lots of conversation and noise- we went on a tuesday for lunch and though the outdoor and indoor seating were empty, the patio was pretty full- my friends and i went for the restaurant week deal and we got:- chicken liver pate (5/5): this was the best dish we got! the pate was creamy and flavorful, the bread was thick cut, perfectly grilled, and crusty, and the whole grain mustard and caramelized onion jam combined with everything to make the perfect bite. unfortunately this also raised our expectations for the other dishes a little too high- fries+trio of dips (2/5): the fries were nothing special, my friend said if you told him they were in-n-out fries he wouldn't have questioned it. the basil aioli was light and refreshing, but lacked flavor. the old bay aioli didn't taste like anything. the only solid dip was the ketchup :/- fried chicken po'boy (3/5): really more of a fried chicken sandwich, as it didn't come on french bread but regular buns. the buns were toasted well and super light and fluffy though! the chicken was fried really well and moist BUT it didn't taste like anything. i dont think the breading was seasoned, there wasn't enough sauce, and the cabbage/jalapenos didn't add any flavor or moistness, so it ended up being kind of dry and tasteless overall. i ended up adding the dips to the sandwich to try to add some moisture and flavor. also, we saw that the sandwiches that were brought out to others sitting near us looked fuller than ours which was somewhat disappointing. - overall this place is super cute and had a lot of potential, but sadly did not deliver on flavor for the majority of their dishes. i might come back to try their other dishes though just because the ambiance and pate were really good.",348,1965,158
"Cute restaurant in the Castro, close to the intersection of Noe Valley. They serve standard American fare - think burgers on thick buns and trendy appetizers like white bean dip and salads with goat cheese. There's a lovely covered outdoor patio which usually fills up quickly for brunch and dinner. They have a happy hour that ends at 6 PM, I highly recommend getting there at 5 PM and having cocktails and appetizers. Weeknights and weekend mornings fill up pretty quickly. Service is a bit slow, but staff is extremely friendly and it's easy to flag someone down. The food is good all 'round -- for dinner, we have tried everything from the halibut to the pasta to the burgers. The rice pudding with cherries for dessert is a nice happy ending :D",133,749,47
The service was absolutely amazing and the food was even better! Loved the crafted cocktails too! This absolutely was a great vibe and can't wait to come back again!,29,165,9
"This place was truly amazing but went downhill in the past year. The prices are very high and the food, while good doesn't justify the cost per portion if you consider the size. The pizza was also mediocre last time we had it and contained a random date pit. We used to come here every few weeks and we are not going to come back in the near future.",69,349,30
Easy to get a table for Sunday brunch. There is parklet seating and a huge backyard seating for outdoors then inside tables and a bar as well.Chilaquiles were a good portion and tasty. Would have been better with more spice or a salsa. Side salad was mildly dressed and nice to have greens with the meal.Lychee cocktail was pleasant but I wish there was more flavor to it. Lychee itself was light and overpowered by the lemon. Definitely a lot of create cocktails I look forward to trying in the future,91,502,42
"We came here for my coworkers bday, and it was great vibes all around.We ordered a lot, and we spent $89/person for about 13 people. We ordered hella appetizers, including fries and more but I ordered the burger, which was very solid with the melted cheese.Would def come back and try ordering less because I was just too stuffed",59,329,26
"Good food and good service. My friends and I had the following food: - Starbelly salad - delicious and refreshing- Fresh spaghetti with bacon - great and tasty. Pasta was perfectly al dente.- Crab rangoon squid ink pasta - delicious and VERY flavorful, with lots of crab meat! - Salty pup grapefruit drink (with gin, elderflower, fresh grapefruit) - refreshing and sweet- Cucumber basil limeade drink - too sour/bitter- Warm beets & goat cheese - good, soft, and warm- Crispy fried brussels sprouts - good - Puree of carrot and celery root soup - thick, creamy, and tasty. Curry spiced pears added a unique twist to the soup flavor",109,631,20
"Seriously great food here. Servers were delightful even with such an insane brunch rush. It's a shame I didn't get my servers name he was so lovely and kind with us!!! Otherwise I would shout him out on here. I ordered the corn pizza as corn and cheese a pretty popular asian food combo and I am usually attuned to the taste of my culture  it did have some latin American flavor twist to it with the sauce which was some sort of aioli. I will say it was a tad bit greasy, but hey its a pizza. Italian and oil goes hand in hand. My other friend got the French toast with fantastic toppings with something alike to a blueberry preservative, some nutty seeds and a MASCARPONE. Will say the MASCARPONE I have tried on other french toasts before were a bit more whipped, light and fluffy. This one was a bit more thick and more of a regular cream cheese consistency. Not mad though, it balanced the flavors very well but my friend wasnt a huge fan. My other friend accompanying me ordered the Loco Moco. I also found it peculiar that there seems to be an Asian cuisine twist on this traditionally Latin dish. I tasted a bit of it and it mightve been the best thing on the table. It had a perfectly season sunny side up egg, a hamburger patty cooked about medium rare, over some rice. there was a bit of dehydrated fried onions as well as fresh cut green onions garnishing the egg, and topped off with a soy GLAZE! not soy sauce... a GLAZE! i need the recipe for this supposed glaze cuz it was amazing. I don't even rlly like red meats that much or eat them on the regular, so it was very shocking to me how the flavors were very balanced. Very cute seating, we sat indoors but there is a very nice patio and a bar too.",329,1713,147
"Came for an early Sunday brunch, easily secured a table for 2 around 11am but the place definitely seems to fill up as time goes by.The inside is real nice, spacious and bright. There is a patio where you can sit with your dog, as well as seats in the front. Inside was fine, although it got pretty loud once more people arrived adjacent to our table.The menu isn't as expensive as other brunch spots, but still has some fun stuff on it. Win! I got the Chilaquiles and a coffee, my vegetarian companion got the Italian eggs with a side of fruit. I didn't see any fancier coffee options, so I would double check with them if that's what you're into.The food was solid - good, but not mind blowing. It hit the spot for a casual brunch. What lacked -the chilaquiles, while tasty, felt a bit one note and could have used some more heat or zest. House made chorizo didn't stand out that much, I guess. The fruit side was a bit worse for wear, although I understand it's not the season for lots of brunch fruit. I am lowkey suspecting my coffee might have been part decaf, or maybe it was watered down? Didn't feel very strong. Maybe will go for some alcohol next time instead.Again, good for casual brunch - I wouldn't bring a foodie with expectations, but great vibes, friendly prices (for SF) and ambience if you're getting brunch to be social.",248,1341,97
"Pretty noisy and a tad pricey, but a good place to meet up for lunch in the Castro. The pizzas and little gem salad don't take a big bite out of your wallet.",33,157,15
"Everything was great. Ordered the mussels, broccolini, and a clam pizza, split between a friend and I. All together, it was delicious. The clam pizza didn't have too much flavor but the sauce the mussels were cooked in was the right addition to drag a slice of pizza through to make it more enjoyable. The broccolini was delish, def add it to your order.The waiter and ambiance of the restaurant were nice. We sat outside in a covered area which I believe was heated too so it was comfy even on a cold night. Service was quick but they weren't pesty about checking in. Drink-wise, my friend had a tasty passion fruit cocktail and I ordered an NA IPA beer which would do the job if you need an NA beer to enjoy.",133,710,61
"Love the food, service and ambience.  Bar program has some excellent street cred! Great neighborhood restaurant -- their chicken liver paté is super d.",24,151,6
"My friend took me out for my birthday here. Ambiance was cute. We both ordered their burger. I was totally disappointed. The meat was very dry and blend and the bun was cold, the bacon was too dry as well had had bo taste. The burger was not cheap so I would expect a very good quality if I'm paying that price fir a burger. The fries was not hot neither. Service by the young girl was 5 star food did not meat the mark. Only reason I'm giving 3 stars is for our server. Do better food Starbelly!",99,496,39
"Came here for SF Restaurant Week 2022! The lunch comes with a starter and an entree for $15! What a DEAL. I ordered the 1/2 liver pate plate and chicken po'boy. The pate was a great deal - it came with a toasted piece of bread, pate, jam, and mustard. I should have ordered another slice of bread! The chicken po'boy was a good size and chicken had a tasty flavor but the slaw was a little bitter to me! Stop a great meal for $15!",86,430,32
"I actually love Starbelly.  The reservations are easy to make and the food is yummy.  The ambiance is nice- elevated casual and the service is very friendly.  Parking is a bit of a pain in the Castro if you don't get dropped off by Lyft. DINNERPate- delicious.  Not all people are into pate, but if you are- you have to try itCrispy fried brussel sproutsFresh spaghetti- The spaghetti is my favorite dish herePizza margheritaAll in all, the portions are on the smaller side.  I don't have a super large appetite, but I feel like I still leave here on the hungry.  I've only come for dinner, but I think this is better known for brunch.",115,635,50
Ambiance is really great. Food is good and well-priced. Recommend sharing and getting pizzas. Service is great and food is always timely.,22,137,7
"Maybe I'm just not a fan of New American food or I'm a snobby San Francisco foodie now. But I feel like the standard for pizza and hamburgers are pretty high in the city. The food wasn't bad but it didn't do anything for me, tasted like something was missing. Or maybe just tasted too healthy so it was stripped of its debaucherous origins. This place seems really popular though so maybe the secret is to down a few cocktails first to ""loosen"" up your tastebuds. Maybe that was our mistake but its safe to say that the food was not the star of the show (babdum tsk)",108,566,49
"A little hit or miss, but staple of the neighborhood and the right choice most of the time.  Great atmosphere, including the Parklet and sidewalk seating but hope the service has improved. Food is good, and the price is reasonable, but don't go if you're pressed for time",48,271,23
"A very unremarkable brunch! Not bad, but not great, so a solid 3. The marguerita pizza was hard on the bottom and chewy on top. The chicken and waffles was just fine, the chicken was pretty crispy on the outside. I enjoyed the salty dog cocktail. Nice elderflower flavor comes through and pairs well w/ the gin and grapefruit. The tea for two was bitter, would not reorder. Service was good. There is seating on the front and back patio, and inside in the main dining area.",87,473,33
"Walked in here to get brunch on a Sunday, and ended up waiting for about half an hour, which was decent given the popularity of this place.We ordered a couple cocktails to begin with, and they came out p quick. Taste was a solid 7/10 on both.Next we got the fish tacos, french toast and a dish called the loco moco, which is essentially a beef patty topped with a runny egg.The fish tacos were crunchy, fatty, and made helluva brunch. The french toast tasted super satisfying, but the amount of calories on that plate, my god. The loco moco was a good balance, and the patty was cooked as I had asked for, the egg had a nice mouthfeel, and the rice made it a complete dish.The portion sizes on each was good, and is enough for an adult, unless you go splitsies. The waitstaff was warm and the ambience was very welcoming. Definitely a go-go!10/10 would go back again!",161,867,69
"Mission Fig Pizza: figs, arugula, serrano ham and manchego cheese. Pretty good but just a little dry. Could've used some balsamic glaze or something. Chicken and waffles: chicken was just okayLoco Moco: one of the highlights of the meal but also small portionedPo Boy: loved the fries, slaw was good, chicken was okay Honestly thought the food was just okay, nothing super memorable. I liked the pizza the most but honestly wish there was a glaze on it because it was kind of dry.Service: sitting outside, we had a hard time getting the server's attention. Reservations: super easy to make through YelpDrinks: mimosas with grapefruit or orange juice, nice and refreshing",111,670,42
"Solid food, good atmosphere and fast service. Friendly, down home feel. Highly recommend.",13,89,2
"Super cozy spot in the Castro area! The small plates were particularly good -- I really liked the potato dumplings. The pizza was alright, but next time I think I'd order more of the sharing plates!Dined: June 29, 2022",39,218,9
"Probably should have made reservations on a Sunday evening, but thankfully, some seats opened up at the bar and they were able to seat us pretty quickly. We had the chicken liver pâté, which was out-of-this-world! That grilled bread was so good all on its own and paired with the pâté, fresh mustard seeds, and jam/jelly on the side just knocked it out of the park. The Starbelly bacon pizza just elevated the experience even further. The bacon with the arugula, jalapenos and that green goddess sauce (OMG) was the perfect blend of savory, bitter, spicy, and tangy. It looks like they change up their menus seasonally, so I'm long overdue for another visit. Until then!",116,670,49
"Tasty fried chicken sandwich, I like things saucy and would have preferred more slaw. Bun was good. Fries reminded me of In N Out. Wish they remembered the aioli for my takeout order. Not crowded at lunch.",37,205,11
"My friend was having his birthday dinner here and there were about 16 of us. They are definitely good at accommodating bigger parties. We had a pleasant experience throughout the dinner. When he made the reservation, they required us to put our order ahead of time and it was a set menu for all of us. The set menu costs $50 per person without drinks included. For starters, we had the chicken liver pate and the crab & burrata dumplings. Then we were served starbelly salad. Pizza margherita fresh spaghetti with starbelly bacon, salsa verde marinated bavette steak skewers, date& toffee cake. I think the set menu, food portion and service along with cocktails were worth the price.",118,684,40
"This place just keeps getting better.The bar menu is wonderful, so many creative concoctions. The food menu covers all the bases, small to medium to large to ginormous, as in pizza for 1. Great service, attentive and helpful.One of the best in the 'hood.Enjoy!",44,260,16
"Came for lunch last week, sat inside at a tall table. Great people watching spot. The cocktail menu is interesting, inventive. Wonderful food menu, so many cuisines on offer, Hawai'i, Mexico, USA, Asia, and nice wines too. Friendly helpful service, very good prices.Enjoy!",43,272,8
"Today was an 'off' day @ Starbelly for me.Waiter so busy chatting up other tables, and finally our table. ""Know what you want?"" Wasn't the greeting I'd hoped for. Drinks finally appear after 10 minute wait in a non-busy room...and then our food and my Loco Moco is drenched in soy sauce, way too much such that the dish is pretty awful. Move food to slope of serving bowl and hope for best. Later, check comes but waiter never asked about our meal or dessert...we order dessert...An off day, an off meal...",92,506,36
"Came here after it first opened and thought it OK but crowded and the service was rushed. Couple more times by and not as busy and service better. Both times food was good.Today, at lunch, great service, not crazy busy or loud and the food was excellent, every dish that was brought to the table was well composed and well made with excellent ingredients.Bravo, gang, so glad you are here in the 'hood!",73,402,35
"Starbelly is a great spot in Castro for dinner with friends. We really enjoyed the selection of vegetable plates. We ordered the crispy fried brussels sprouts, warm beets & goat cheese, lollo rosa salad and the house made thai spiced pork sausages. It was all delicious. We also enjoyed the passionflower and chumbo picante cocktails.",55,334,14
"Weekend brunch is where it's at! I have a sensitive stomach and always order the chilaquiles, which are perfectly seasoned without being too heavy or salty. Good mix of chips, chorizo, egg, salsa. The side salad and avocado help balance everything out. I've also been here for lunch and dinner multiple times. Pizza is hit or miss, skip the fried chicken. They seem to always have space available for two people to walk in, but for larger groups definitely reserve. The back patio is covered so it's not windy but still has ventilation. Bonus: there's an option to use the InKind app to pay, which is completely contactless and you don't have to wait for the server.",117,666,46
GREAT brunch spot especially with a bigger group!  The restaurant was very spacious and saw they were able to accommodate larger parties. The three of us decided to split several dishes and none of them disappointed. My favorite was the margherita pizza,42,253,15
"The ambiance of the restaurant is very cute and the staff were super friendly. I ordered the lavender lemonade and the chicken & waffles for brunch. The lemonade was a bit bitter and I could not really taste the lavender. The waffles were light and fluffy and had syrup already soaked into them which tasted so good. I was not a fan of the chicken. It was a bit rubbery which grossed me out. Parking is a bit of a pain around here too, alas welcome to the city.",89,461,40
"On our weekly date night, we decided to grab some dinner at Starbelly as it's always a great choice when dining in the Castro. Located on one of the busiest intersections, it's super accessible. I love the space! Lots of options for dining - outside seating in the front and the back patio, bar and high top seating, and a proper in-house dining area for tables. There's a climate and seat preference for everyone. The menu is seasonal and packed with locally sourced ingredients. Here's what we got off the winter dinner menu 2022: - Rose of Pinot Noir - Latransa for $48 a bottle- House-made chicken liver pate for $12. It's on a board with bread, sweet onion marmalade, and grain mustard. I love a good charcuterie board with different items; this was great! I also love that they bring more bread upon request- Grilled bavette steak for $30. While it comes with potato puree, we opted to get the french fries instead. The place also included crispy brussels sprouts and garlic porcini butter. So good! Love the flavors and am glad we got the fries! As mentioned, Starbelly is always a great place and option while visiting the Castro. Great food always!",204,1157,68
"One of my favorite restaurants in this neighborhood. I love their food and their drinks are very unique and yummy. My favorites for breakfast is their French Toast, for lunch I love their salads and chicken sandwich, for dinner I love their Spaghettis and any of their pizzas. All of their deserts are to die for but my favorite is the date cake.My favorite part of this restaurant is their friendly staff and their back patio/garden. It feels like I'm in Europe.",82,463,38
Restaurant week 10/21 to 10/30/22 yay! Starbelly my favorite choice but only Monday to Friday.  $15 lunch.  I love their pate which is half an order of their regular menu.  It is enough!  Love the jam with the pate.  The po boy fried chicken was excellent.  Got too gung ho and burned the roof of my mouth.  There's only limited time to get back to work.  Rushy rushy.  Big yum.,70,378,24
"Came on the first day of eating out in their patio. Very conscious of social distance, sanitizer, and cleanliness.  Highlights, of course the chicken pate, brussel sprouts, and the fried chicken sandwich.  Skip the quinoa and thin frrench fries. Their menu was limited but they said thdy will expand. They are most welcoming bunch.",54,331,20
"Annual event that i look forward to.  Restaurant week. Only 10 days to find time to sneak out of work for lunch. It's terrible to have a job that you cannot properly enjoy lunch away. But sneak i did! And it was totally worth it.  I needed an accomplice who would enjoy the experience with me and also to drive me back like Fast and Furious. I got to restaurant, 15 min after they open. Seated in the backyard.sunny day. Everybody was ordering the special, $15.15 for 3 course lunch.  Lentil soup and chicken liver. So good. The entree took awhile. Had to flag down to ask. Worth the wait since the po boy chicken was juicy and crunchy on a big bun. Mediterranean plate with hummus , falafel, and pita, pickled zucchini. Very healthy.  The best is the caramel pot de cream. Smooth and burnt flavor. So good. Worth the stress of going back to work. AVIDAZEN!.",158,858,50
"Came here for the dine about.  I know, im finally getting to 5his review.  It was a last minute surprise by a friend who came to pick me up for their last day. It was so worth it. Can't remember what we had but my memory is telling me we were drooling waitingvfor the good to come.  Food was fresh. Excellent service.  So welcoming.  We had fun during our ""work"" lunch.",71,369,31
"Starbelly is a hidden gem that exceeds expectations with its impeccable service, inviting ambiance, and outstanding culinary creations. The warm and contemporary interior, accompanied by soft lighting, creates a cozy atmosphere for a remarkable dining experience. The attentive and knowledgeable staff ensures every need is met, guiding guests through a menu that showcases a diverse range of culinary delights.The starters, like the crispy calamari and truffle mushroom crostini, tantalize the taste buds, while the mains, such as the braised short ribs and perfectly seared salmon, leave a lasting impression. Starbelly's commitment to locally sourced, seasonal ingredients shines through in every dish, creating a symphony of flavors.From start to finish, Starbelly captivates with its attention to detail, passion for food, and commitment to excellence. Whether for an intimate dinner or a celebration, this restaurant consistently delivers a culinary masterpiece that will leave you craving more.",144,1001,49
"I have no complaints about the food, except that in my portion of the tuna there was a lump of a date from someone's dessert. Very crowded and noisy. Not recommended.",31,166,16
"Let me just say, their Starbelly bacon pizza was EVERYTHING. Whatever the green goddess dressing that was on the pizza was spectacular! ($17)Their house-made chicken liver pâté was so delicious. The amount of pâté they gave you was so generous, we had to get extra buttered bread to finish it off! It also came with a side of sweet onion marmalade and green mustard. ($12)For their spring menu, they are currently serving house-made andouille sausage and gulf prawns w/ wild rice, okra and sweet peppers. (1 big sausage and 4 prawns) It had a medley of everything and I thoroughly enjoyed it! ($28) Both cocktails were great. We got the strawberry alarm clock and a banana drink that i unfortunately forgot what's it called! ($11-13)I will be back!",128,748,45
"YUM! I tried this place for SF restaurant week and fell in love. The ambiance is amazing and their outdoor patio is very cute. The servers are friendly and attentive, and the food was delicious! My favorite dish had to be the cauliflower soup -- it was so creamy and AMAZING. All of the food tastes very light and clean. I was in awe of how they managed to make every taste so good without it feeling too oily or unhealthy like many restaurants do. This place is a great spot for a date or quick lunch break during work!",100,520,42
Great service and solid menu. Always a fan of the brussel sprouts during dinner service. The chorizo pizza is perfect for late breakfast /early lunch. Don't forget the chicken and waffles,31,187,9
"It's an almost perfect neighborhood restaurant. It is almost as good as Chow used to be. They serve breakfast/brunch lunch & dinner, Southern Italian style pizzas, homemade pate which we loved, salads. Drawbacks? Wish they had some lower-priced items.",39,251,10
"Came here before a show at Castro Theater and had some really yummy pizza! There's a nice covered back patio area filled with beautiful plants which made for a great ambiance. We were told our table was limited to 1 hr 15 min, but I don't remember if they actually enforced that. I was happy to see there was a corn pizza, and it was enough to have leftovers for later! Also if you haven't tried corn on pizza yet that's something you NEED to try",86,446,37
Great service and solid menu. Food is reasonably priced with a good portion and wonderful flavor. The staff is nice. Service is fast. The ambiance is upbeat. We had a great experience!,32,184,10
"Great ambiance! Really cute place and had good drinks. We ended up getting a pizza and burger - both were good. I don't have much to complain about but I wouldn't say the food took my breathe away or anything, it was just average/above average. But mixed with a good ambiance and good service, I'd probably come here again and maybe try something else on the menu!",67,364,27
"The service was very nice. The waiters were friendly. The butternut squash pizza is a 10 out of 10 I would highly recommend. Very flavorful and unique. The crust was thin, but nicely crunchy. The chicken Po boy sandwich was very good. They set a lot of fries. Had some left over but finished it. You have to order the fries separately though. I think it's like two bucks, but it was worth it couldn't hear the waiter though he is very soft. outdoor seating heater was on. Very modern very San Francisco.",93,503,32
"Good people, food is always good, the patio is amazing. Make sure to come early!",15,80,4
Looking for a last minute dinner reservation and I was happy to be able to come here. The staff is great and the service is really fast.  We decided to share several small plates and one main entree.  The burrata was good but the bread was too soft.  The pate was really good.  The lamb meatballs were delicious.  The starbelly salad was good but slightly overdressed.  Finished up with the shrimp and andouille sausage and rice with okra.  This was all really good. The okra was cooked nice which isn't always easy to do.  It had a great taste overall and although super buttery it was so good.  Overall it's a nice place and I would go back if I lived here.,122,659,44
"My friends and I went for brunch. We got the chicken po boy with fries, the Italian eggs, and the chilaquiles. I tried a little bit of the three and I thought the best was the Italian eggs. The chilaquiles were good, too, but not something I'd get if I go next time. The chicken po boy was disappointing -- the fried chicken tasted unseasoned and kind of soggy (or wasn't as crispy as it looked like). The vibes were good but the food was OK. As for the service, the staff felt a little all over the place -- which is kind of understandable given it was height brunch time on a weekend.It took a while for us to get someone's attention and felt a little rushed at the end when we wanted to stay longer but was told the table had to be used for a different reservation.",150,768,63
